Country;iso_a3;currency_code;local_price;dollar_ex;dollar_price;dollar_ppp;GDP_dollar;dollar_valuation;euro_valuation;sterling_valuation;yen_valuation;yuan_valuation;dollar_adj_valuation;euro_adj_valuation;sterling_adj_valuation;yen_adj_valuation;yuan_adj_valuation
United Arab Emirates;ARE;AED;14,75;3,67315;4,015626914;2,601410935;;-29,178;-12,362;-8,947;13,302;28,593;;;;;
Argentina;ARG;ARS;171;60,0656;2,846887403;30,15873016;11658,22;-49,79;-37,869;-35,448;-19,674;-8,833;-18,6;-16,3;-11,2;7,3;-11,1
Australia;AUS;AUD;6,45;1,449065353;4,451145;1,137566138;56420,201;-21,497;-2,857;0,928;25,591;42,54;-17,5;-15,2;-10,1;8,7;-9,9
Azerbaijan;AZE;AZN;3,95;1,6965;2,328323018;0,69664903;;-58,936;-49,186;-47,206;-34,305;-25,44;;;;;
Bahrain;BHR;BHD;1,4;0,377;3,713527851;0,24691358;;-34,506;-18,955;-15,797;4,779;18,919;;;;;
Brazil;BRA;BRL;19,9;4,1419;4,804558295;3,509700176;8958,576;-15,264;4,856;8,941;35,562;53,858;42;46;54,9;87,1;55,1
Canada;CAN;CAD;6,77;1,30655;5,181585091;1,194003527;46290,217;-8,614;13,084;17,49;46,2;65,931;4,3;7,2;13,8;37,5;13,9
Switzerland;CHE;CHF;6,5;0,96825;6,713142267;1,14638448;83161,895;18,398;46,509;52,218;89,414;114,977;2,8;5,7;12,1;35,5;12,2
Chile;CHL;CLP;2640;772,74;3,416414318;465,6084656;15901,725;-39,746;-25,439;-22,534;-3,605;9,405;-7,1;-4,5;1,3;22,4;1,4
China;CHN;CNY;21,5;6,885;3,122730574;3,791887125;9580,239;-44,925;-31,849;-29,193;-11,891;0;-8,4;-5,8;-0,1;20,7;0
Colombia;COL;COP;11900;3287,625;3,619634234;2098,765432;6641,507;-36,162;-21,004;-17,926;2,129;15,912;10,2;13,3;20,2;45,2;20,3
Costa Rica;CRI;CRC;2350;569,965;4,123060188;414,4620811;;-27,283;-10,017;-6,511;16,334;32,034;;;;;
Czech Republic;CZE;CZK;85;22,63095;3,755918333;14,99118166;23112,593;-33,758;-18,03;-14,836;5,975;20,277;-5,7;-3,1;2,8;24,2;2,9
Denmark;DNK;DKK;30;6,71935;4,464717569;5,291005291;60897,231;-21,257;-2,561;1,236;25,974;42,975;-20,1;-17,8;-12,8;5,3;-12,7
Egypt;EGY;EGP;42;15,88;2,644836272;7,407407407;2573,288;-53,354;-42,278;-40,029;-25,375;-15,304;-15;-12,6;-7,3;12;-7,2
Euro area;EUZ;EUR;4,12;0,899159286;4,582058;0,726631393;40247,32341;-19,188;0;3,896;29,285;46,732;-2,7;0;6,1;28,2;6,2
Britain;GBR;GBP;3,39;0,76866905;4,4102205;0,597883598;42579,817;-22,218;-3,75;0;24,436;41,23;-8,3;-5,7;0;20,8;0,1
Guatemala;GTM;GTQ;25;7,7063;3,244098984;4,409171076;;-42,785;-29,2;-26,441;-8,466;3,887;;;;;
Hong Kong;HKG;HKD;20,5;7,77535;2,636537262;3,615520282;48450,607;-53,5;-42,46;-40,218;-25,609;-15,569;-47,9;-46,4;-43,2;-31,3;-43,1
Honduras;HND;HNL;87;24,6548;3,52872463;15,34391534;;-37,765;-22,988;-19,988;-0,436;13,001;;;;;
Croatia;HRV;HRK;22;6,6965;3,28529829;3,880070547;;-42,058;-28,301;-25,507;-7,304;5,206;;;;;
Hungary;HUN;HUF;900;298,7502;3,012550284;158,7301587;16484,19;-46,869;-34,253;-31,692;-15;-3,528;-18,6;-16,4;-11,3;7,2;-11,2
Indonesia;IDN;IDR;33000;13670;2,414045355;5820,10582;3870,562;-57,424;-47,315;-45,262;-31,887;-22,694;-23,8;-21,7;-16,9;0,4;-16,8
India;IND;INR;188;70,87815;2,652439433;33,15696649;2037,692;-53,22;-42,112;-39,857;-25,16;-15,06;-14,2;-11,7;-6,4;13,1;-6,3
Israel;ISR;ILS;17;3,4595;4,914004914;2,998236332;41728,191;-13,333;7,244;11,423;38,651;57,362;2,9;5,8;12,3;35,7;12,4
Jordan;JOR;JOD;2,3;0,709;3,244005642;0,405643739;;-42,786;-29,202;-26,443;-8,469;3,884;;;;;
Japan;JPN;JPY;390;110,04;3,544165758;68,78306878;39303,958;-37,493;-22,651;-19,637;0;13,496;-24,1;-22;-17,2;0;-17,1
South Korea;KOR;KRW;4500;1156,1;3,892396851;793,6507937;33319,988;-31,351;-15,051;-11,741;9,825;24,647;-11,9;-9,4;-3,9;16,1;-3,8
Kuwait;KWT;KWD;1,1;0,3034;3,625576796;0,194003527;;-36,057;-20,874;-17,791;2,297;16,103;;;;;
Lebanon;LBN;LBP;6500;1514;4,29326288;1146,38448;;-24,281;-6,303;-2,652;21,136;37,484;;;;;
Sri Lanka;LKA;LKR;580;181,45;3,196472858;102,292769;;-43,625;-30,239;-27,521;-9,81;2,361;;;;;
Moldova;MDA;MDL;45;17,42;2,583237658;7,936507937;;-54,44;-43,623;-41,426;-27,113;-17,276;;;;;
Mexico;MEX;MXN;50;18,8205;2,656677559;8,818342152;9796,976;-53,145;-42,02;-39,761;-25,041;-14,925;-22,3;-20,1;-15,3;2,4;-15,2
Malaysia;MYS;MYR;9,5;4,0745;2,331574426;1,675485009;11072,387;-58,879;-49,115;-47,132;-34,214;-25,335;-32,9;-31;-26,8;-11,5;-26,7
Nicaragua;NIC;NIO;120;33,8763;3,542299484;21,16402116;;-37,526;-22,692;-19,68;-0,053;13,436;;;;;
Norway;NOR;NOK;53;8,87515;5,971730055;9,347442681;81549,977;5,322;30,329;35,407;68,495;91,234;-7,6;-5;0,8;21,8;0,9
New Zealand;NZL;NZD;6,5;1,513546239;4,29455;1,14638448;41204,706;-24,258;-6,275;-2,623;21,172;37,525;-9,6;-7,1;-1,4;19,1;-1,3
Oman;OMN;OMR;1,155;0,38505;2,99961044;0,203703704;;-47,097;-34,536;-31,985;-15,365;-3,943;;;;;
Pakistan;PAK;PKR;520;154,875;3,357546408;91,71075838;1565,427;-40,784;-26,724;-23,869;-5,266;7,52;9,4;12,4;19,3;44,1;19,4
Peru;PER;PEN;11,9;3,3276;3,57615098;2,098765432;7007,171;-36,929;-21,953;-18,912;0,902;14,52;8,4;11,4;18,2;42,8;18,3
Philippines;PHL;PHP;142;50,58;2,807433768;25,04409171;3104,223;-50,486;-38,73;-36,343;-20,787;-10,097;-10,4;-7,9;-2,3;18;-2,2
Poland;POL;PLN;11;3,7966;2,897329189;1,940035273;15425,681;-48,901;-36,768;-34,304;-18,251;-7,218;-20,8;-18,6;-13,6;4,4;-13,5
Qatar;QAT;QAR;13;3,641;3,570447679;2,292768959;;-37,029;-22,078;-19,042;0,742;14,337;;;;;
Romania;ROU;RON;9,5;4,2982;2,210227537;1,675485009;;-61,019;-51,763;-49,884;-37,638;-29,221;;;;;
Russia;RUS;RUB;135;61,4325;2,197533879;23,80952381;11289,439;-61,243;-52,04;-50,172;-37,996;-29,628;-36,9;-35,1;-31,2;-16,8;-31,1
Saudi Arabia;SAU;SAR;13;3,7518;3,465003465;2,292768959;23538,94;-38,889;-24,379;-21,432;-2,234;10,961;-13,4;-11;-5,6;14,1;-5,5
Singapore;SGP;SGD;5,9;1,34715;4,379616227;1,040564374;64578,772;-22,758;-4,418;-0,694;23,573;40,25;-23,7;-21,6;-16,8;0,5;-16,7
Sweden;SWE;SEK;51,5;9,4591;5,444492605;9,082892416;54356,073;-3,977;18,822;23,452;53,618;74,35;2,6;5,4;11,8;35,1;12
Thailand;THA;THB;115;30,2775;3,798199983;20,28218695;7448,119;-33,012;-17,107;-13,877;7,168;21,631;14,4;17,6;24,8;50,8;24,9
Turkey;TUR;TRY;12,99;5,88025;2,20908975;2,291005291;9405,321;-61,039;-51,788;-49,91;-37,67;-29,258;-35,1;-33,2;-29,2;-14,4;-29,1
Taiwan;TWN;TWD;72;29,8845;2,409275711;12,6984127;25007,747;-57,508;-47,419;-45,371;-32,021;-22,847;-40,7;-39,1;-35,4;-21,9;-35,3
Ukraine;UKR;UAH;57;23,99;2,375989996;10,05291005;;-58,095;-48,146;-46,125;-32,961;-23,913;;;;;
Uruguay;URY;UYU;179;37,435;4,781621477;31,5696649;;-15,668;4,355;8,421;34,915;53,123;;;;;
United States;USA;USD;5,67;1;5,67;1;62868,917;0;23,744;28,565;59,981;81,572;0;2,8;9,1;31,8;9,2
Vietnam;VNM;VND;66000;23176;2,847773559;11640,21164;;-49,775;-37,849;-35,428;-19,649;-8,805;;;;;
South Africa;ZAF;ZAR;31;14,391;2,154124105;5,467372134;6353,846;-62,008;-52,988;-51,156;-39,221;-31,018;-34,2;-32,3;-28,2;-13,3;-28,1
